bayesData,,,,,,,,,,,,,,,,,,,,,,,,
data_id,ego_speed,ego_angle,ego_lane,rel_f0,rel_b0,rel_f1,is_safe_f0,is_safe_f1,is_safe_b0,f0_speed,f0_acc,f0_lane,f0_intension,b0_speed,b0_acc,b0_lane,b0_intension,f1_speed,f1_acc,f1_lane,f1_intension,weather,decision_speed,decision_angle
100,low,straight,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,stop,acc,left,left,stop,keep,left,left,Rain,acc,right
100,low,straight,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,low,acc,left,left,stop,dec,left,left,Rain,acc,right
100,low,straight,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,low,acc,left,left,stop,keep,left,left,Rain,acc,right
100,low,straight,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,low,acc,left,left,stop,keep,left,left,Rain,acc,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,low,acc,left,left,stop,keep,left,left,Rain,acc,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,low,acc,left,left,stop,dec,left,left,Rain,acc,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,low,acc,left,left,stop,dec,left,left,Rain,acc,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,low,acc,left,left,stop,dec,left,left,Rain,acc,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,low,acc,left,left,stop,keep,left,left,Rain,acc,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,low,acc,left,left,stop,dec,left,left,Rain,acc,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,low,acc,left,left,stop,keep,left,left,Rain,acc,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,low,acc,left,left,stop,keep,left,left,Rain,acc,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,low,acc,left,left,stop,dec,left,left,Rain,acc,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,low,acc,left,left,stop,keep,left,left,Rain,acc,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,low,acc,left,left,stop,keep,left,left,Rain,acc,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,left,low,acc,left,left,stop,keep,left,left,Rain,acc,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,keep,right,left,low,keep,left,left,stop,keep,left,left,Rain,acc,right
100,low,left,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,left,low,dec,left,left,stop,dec,left,left,Rain,acc,right
100,low,straight,right,mid,mid,mid,unsafe,safe,unsafe,stop,acc,right,right,low,acc,left,right,stop,dec,left,right,Rain,acc,right
100,low,straight,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,stop,dec,left,right,Rain,acc,right
100,low,straight,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,stop,keep,left,right,Rain,acc,right
100,low,straight,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,stop,dec,left,right,Rain,acc,right
100,low,left,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,stop,keep,left,right,Rain,acc,right
100,low,left,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,stop,keep,left,right,Rain,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,stop,keep,left,right,Rain,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,stop,dec,left,right,Rain,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,stop,dec,left,right,Rain,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,stop,dec,left,right,Rain,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,stop,keep,left,right,Rain,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,stop,dec,left,right,Rain,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,stop,dec,left,right,Rain,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,stop,dec,left,right,Rain,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,stop,keep,left,right,Rain,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,keep,right,right,low,acc,left,right,stop,keep,left,right,Rain,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,keep,right,right,low,acc,left,right,stop,keep,left,right,Rain,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,dec,right,right,low,acc,left,right,stop,dec,left,right,Rain,acc,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,dec,left,right,Rain,acc,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,keep,left,right,Rain,acc,right
100,low,straight,right,mid,mid,mid,unsafe,safe,unsafe,stop,keep,right,right,low,acc,left,right,stop,acc,left,right,cloudy,acc,right
100,low,straight,right,mid,mid,mid,unsafe,safe,unsafe,stop,acc,right,right,low,acc,left,right,low,acc,left,right,cloudy,acc,right
100,low,straight,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,low,acc,left,right,cloudy,acc,right
100,low,straight,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,low,acc,left,right,cloudy,acc,right
100,low,left,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,low,acc,left,right,cloudy,acc,right
100,low,left,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,low,acc,left,right,cloudy,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,low,acc,left,right,cloudy,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,low,acc,left,right,cloudy,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,low,acc,left,right,cloudy,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,low,acc,left,right,cloudy,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,low,acc,left,right,cloudy,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,low,acc,left,right,cloudy,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,low,acc,left,right,cloudy,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,low,acc,left,right,cloudy,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,low,acc,left,right,cloudy,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,keep,right,right,low,acc,left,right,low,acc,left,right,cloudy,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,keep,right,right,low,keep,left,right,low,acc,left,right,cloudy,acc,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,keep,right,right,low,dec,left,right,low,acc,left,right,cloudy,acc,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,keep,left,right,cloudy,acc,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,keep,left,right,cloudy,acc,right
100,low,left,left,mid,mid,mid,unsafe,safe,unsafe,low,dec,right,right,stop,dec,left,right,mid,dec,left,right,Rain,dec,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,dec,left,right,Rain,dec,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,dec,left,right,Rain,dec,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,dec,left,right,Rain,dec,right
